Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date	File Size	SHA256
PCSH00187	ASIA	Resident Evil: Revelations 2 Update 1.04	1.04	3.52	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00187/PCSH00187_T3/c4fa085cd3bac021/HP0102-PCSH00187_00-RESIDEVILREVELS2-A0104-V0100-5ce85e000bc93052667911dd87190d3c28d50d72-PE.pkg		908095584	c551b5dd04a0eccc68ebcb2ca809c567f820f04ea69bdd4375a4211883066c0c
PCSH00197	ASIA	Shin Sangoku Musou 7 Empires Update 1.02	1.02	3.52	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00197/PCSH00197_T3/945c42c39d606221/KP5014-PCSH00197_00-SM7EMPGAMEKR0000-A0102-V0100-da64644429661f308fb95dfd79b179a1c428b67a-PE.pkg		11698528	2b04ef0f77ea9f89f965921fe5367d9710cef0efc5c711afd23442e69297563d
PCSH00208	ASIA	Gundam Breaker 3 Update 1.30	1.3	3.57	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00208/PCSH00208_T10/79c35193d0032990/HP0700-PCSH00208_00-GUNDAMBREAKER3VM-A0130-V0100-e7062c86ea7858328011b43a2a990e9b4dced03e-PE.pkg		2778553632	32555e0166d5d910f9aa3850c002f670020da5cbf0b6aa12492a7faceac372d6
PCSH00216	ASIA	Deemo: Last Recital Update 1.05	1.05	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00216/PCSH00216_T4/38753ef9507319f8/HP1248-PCSH00216_00-DEEMOLASTRECITAL-A0105-V0101-2963304b3ea42f7ad32b4261f4b6df818ffb44c7-PE.pkg		258926032	c41341cc99e58ae113311fa89b710107d893191bf2c5a47f1fd72b0f2934d55a
PCSH00219	ASIA	Yomawari: Night Alone Update 1.01	1.01	3.52	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00219/PCSH00219_T0/6df6327eff1f178b/HP5036-PCSH00219_00-YOMAWARI00000000-A0101-V0100-f73b521be3ef72eed32588a2f50479c7846a1cf1-PE.pkg		550698128	537dd084cbc21db9b4150e9784fe9e97bc8d39b8d50db3a658e6e49781a8a648
PCSH00231	ASIA	Atelier Sophie: The Alchemist of the Mysterious Book Update 1.01	1.01	3.55	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00231/PCSH00231_T0/aca8e3890c23d753/KP5014-PCSH00231_00-SOPHIE00MASTER00-A0101-V0100-b3b894a2758cb866f2bc239fc058211337ea1f97-PE.pkg		75748880	742d90dea7ebe88ac1bd0276b31efb1c0d2424727302d568e53ac7a9047237b6
PCSH00252	ASIA	Superdimension Neptune VS Sega Hard Girls Update 1.01	1.01	3.57	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00252/PCSH00252_T2/8758e0da3dd3a795/KP0004-PCSH00252_00-NEPTUNEVS0000000-A0101-V0101-02792e99c376a3b066258f1b746f01fddf2946bf-PE.pkg		2160800	3dfbe1cfaa90091096453e78c6a55f72ab7996b97bc7293632026ea54335207e
PCSH00288	ASIA	Chaos;Child Update 1.01	1.01	3.63	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00288/PCSH00288_T0/55f1a85961a5db79/KP5014-PCSH00288_00-CHAOSCHILD000PSV-A0101-V0100-85fe5102be1a6e101920476758ddcd953779529f-PE.pkg		30616656	96bce2d0d00600a899547edab4456ace5b4d038fcc80f20388922cff227b250c
PCSH10003	ASIA	Super Robot Wars V Update 1.03	1.03	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10003/PCSH10003_T2/0c7a6779c7ad5acb/HP0700-PCSH10003_00-EST001VTSRWHG000-A0103-V0100-90858f43e59fcf8db5c98a375effe4f82f6fea2d-PE.pkg		19313024	9ad2753e9850cf29815e9f24373666c929dee03b55aaabcb102468a5b3ab2851
PCSH10013	ASIA	Atelier Firis: The Alchemist and the Mysterious Journey Update 1.01	1.01	3.63	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10013/PCSH10013_T0/8f117b20d80d63fc/KP5014-PCSH10013_00-FIRISMASTER00000-A0101-V0100-5b73854d181649bec17b75733e7b1dffd7d95142-PE.pkg		524146192	4e4031df54fe0e8fe91ce922e34454293842e1917f24a8ca07d492bb00ef8e43
PCSH10021	ASIA	God Wars: Future Past Update 1.02	1.02	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10021/PCSH10021_T1/4bf9e3bf9a01c76b/HP2281-PCSH10021_00-GDWSADDCONTENT00-A0102-V0100-bd0242f1f77f36f11bd614fb0ff8e0b1dd9f44e0-PE.pkg		92000624	65aeb1f78ef68f2a2a43486c11c315c0850689fed868623cfc4ecaba6dfce43a
PCSH10046	ASIA	Hakuouki: Shinkai - Hana no Shou Update 1.01	1.01	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10046/PCSH10046_T0/a8f3a31c634a6b04/KP0004-PCSH10046_00-HAKUOKISHINKAI02-A0101-V0101-3b9e0292e42354a03b43a7d0d69a314f70e623a7-PE.pkg		5803008	d5b1b10d55b09eb060854dbe2c2f3c1b7ec241b93319e291b66e98f9995333f9
PCSH10074	ASIA	A Certain Magical Virtual-On Update 1.04	1.04	3.67	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10074/PCSH10074_T3/4ad15dc91b682e2c/HP0177-PCSH10074_00-VOX2017INDEX0000-A0104-V0100-d5a3de8dbc2bed05ff9eae6f4d25a6560acb8585-PE.pkg		265945136	20d1ed4e75cb486814b84f8856b0b9519ec73fd655ec8b609817c58c9acb401a
PCSH10076	ASIA	The Lost Child Update 1.03	1.03	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH10076/PCSH10076_T3/fd92e712cb072c2d/KP0004-PCSH10076_00-THELOSTCHILD0000-A0103-V0100-6e6dcd2c29298037873e6ae9446105f84ca426fd-PE.pkg		87890080	ed6f98324175b8988958203aee8c4dafb16f6446e83b26c167e5d5c6248aadf1
PCSB01281	EU	VASARA Collection	1.01	3.69	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB01281/PCSB01281_T0/f795b38bc3ecf521/EP0546-PCSB01281_00-G000000000001193-A0101-V0100-1c9cc869d40eecc94d336e5767a70e03e68de342-PE.pkg		20165792	
