Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date
CUSA00051	EU	Injustice: Gods Among Us Ultimate Edition	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00051_00/2/f_41c886483cfce25f7fb0f0468dbadbe4c96464665d1004c40218127831b69418/f/EP1018-CUSA00051_00-INJUSTICEULTIMAT-A0102-V0100.json	2018-05-23 20:21:22
CUSA00052	EU	The LEGO® Movie - Videogame	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00052_00/5/f_396a65361903b6a4a7378e1b92664e31f2e0acbf1cae2adcbc876eec37e29133/f/EP1018-CUSA00052_00-LEGOMOVIE0000000-A0101-V0104.json	2018-05-23 20:21:22
CUSA00054	EU	Mad Max	1.04		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00054_00/4/f_e10df9794afb8f99c4be4537f4be04167f1c88159890bec7517933880efb39b5/f/EP1018-CUSA00054_00-MADMAXTHEGAME001-A0104-V0100.json	2018-05-23 20:21:22
CUSA00055	US	Tiny Brains	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00055_00/6/f_b9bff0ca28813a2433454d628813842f132f5921d3b95a9f777658e87a40b5c0/f/UP4040-CUSA00055_00-TINYBRAINSGAME01-A0102-V0102.json	2018-05-23 20:21:22
CUSA00056	US	Blast 'Em Bunnies	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00056_00/6/f_f110c30e558a2b7816572a0cb5531329aef8a42293a99037be69394a5aeada93/f/UP4352-CUSA00056_00-NNBLASTBUNNIESUS-A0102-V0100.json	2018-05-23 20:21:22
CUSA00057	US	Strider	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00057_00/4/f_194e738d88f5ed257ecf6467066289aa7c3e081e3824945a798a69fd736ada5e/f/UP0102-CUSA00057_00-STRUSHG4TRIAL001-A0101-V0100.json	2018-05-23 20:21:22
CUSA00061	EU	WEBMAF_DEFAULT	1.07		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00061_00/14/f_3d582431726a985a47d0a75b30a990c1533afce1df62b1f04a6e17fb40859896/f/EP9009-CUSA00061_00-WEBMAF000DEFAULT-A0107-V0100.json	2018-05-23 20:21:22
CUSA00062	EU	ALIENATION™	1.06		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00062_00/11/f_80925f54873c659bd78dd6c9b4149d5111055a7f364dbd943ecc90e93a5210c6/f/EP9000-CUSA00062_00-ALIENATIONGAMEEU-A0106-V0100.json	2018-05-23 20:21:22
CUSA00063	EU	LittleBigPlanet™3 (EU)	1.26		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00063_00/34/f_8784eb992715e4a1de5dafaabe6a65334328ebb03f3dea3443a1202ab57b15a9/f/EP9000-CUSA00063_00-GLITTLEBIG000003-A0126-V0100.json	2018-05-23 20:21:22
CUSA00065	ASIA	KILLZONE™ SHADOW FALL	1.81		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00065_00/51/f_d33cdb0363497e63182e733897ce180e27096871011ee335054ac3295985c3ea/f/HP9000-CUSA00065_00-KZ4RELEASE000041-A0181-V0100.json	2018-05-23 20:21:22
CUSA00068	US	Knack	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00068_00/2/f_0d8ad24ee9d1d46129cc1da8960a823ad7bc48588fa5157429544bf6998b21a3/f/UP9000-CUSA00068_00-KNACK00000000000-A0101-V0100.json	2018-01-21 15:14:22
CUSA00068	US	KNACK™	1.10		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00068_00/16/f_c92038b75620032a0f4f09d093692fd7f8ca5300093f0c3fc2c0b9cb8358d572/f/UP9000-CUSA00068_00-KNACK00000000000-A0110-V0100.json	2018-05-23 20:21:22
CUSA00070	JP	The Order: 1886	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00070_00/5/f_c6a75367f2156639107a799b34a1b50f230db91e1abf1d61c7a6d54516df8d68/f/JP9000-CUSA00070_00-TO1886GAME000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00071	EU	Velocity®2X	1.04		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00071_00/16/f_dea3424eaf1be9928c10f18f7bbf573c84832985e901fbd540d2e85bd568b76f/f/EP4143-CUSA00071_00-FUTURLABV2XPS400-A0104-V0100.json	2018-05-23 20:21:22
