Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJJ00070	JP	PSP	BOXER'S ROAD	http://zeus.dl.playstation.net/cdn/JP0390/NPJJ00070_00/oNLh9O4mcrK2uvG7Rq9SGECNhjU2rQNy2JlYaUnkoLWCddOJlnJpByalhITIFyn1kuxeFVNRNcKrpjq8PuV6uxMrJhFP0FPUvgl4i.pkg	JP0390-NPJJ00070_00-0000000000000001				80451216	
NPJJ00171	JP	PSP	FIGHTERS' IMPACT（PS3®・PSP®用）	http://zeus.dl.playstation.net/cdn/JP0305/NPJJ00171_00/ACG6JcVPanmklp8CW6y58DkMn58PImqN6dt98NOJ2nCtikfnagn3FTGfYBTjAG12phqBKrwps6pJDfWmfyhdsKSpNYjG27Td1dR88.pkg	JP0305-NPJJ00171_00-0000000000000001				237385632	
NPJJ00774	JP	PSP	風のノータム	http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00774_00/JP0011-NPJJ00774_00-0000000000000001_bg_1_47dfc5ddfccaa263021ffe215d827c4f6b612307.pkg	JP0011-NPJJ00774_00-0000000000000001				159095920	
NPJI00014	JP	PSP	ラリークロス	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00014_00/HDP6PwSkUa3qIeGm97wUu6KuJtTa3iY2DhE6KwXVKWsDBHxJRsxxkGqIfyeanLFjFmgcw6vGnVX4rklcDBnVmnMklXtc62nG2YpWs.pkg	JP9000-NPJI00014_00-0000000000000001				112435296	
NPJJ00713	JP	PSP	進め！海賊	http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00713_00/hlvidcNPRcRPdZjzfYedsMkHWtvorWbPGEECUxkABZDugDJlTboXsuFkCbhrrRImFXkDbQQnKbDhzgXyknwejmmpQuPucUtXHcpVH.pkg	JP0011-NPJJ00713_00-0000000000000001				141077264	
NPJJ00682	JP	PSP	Abe a GO GO	http://zeus.dl.playstation.net/cdn/JP0105/NPJJ00682_00/yhlczvgtqZVojIGErUkiyzLBUzLtiPXzudBLiNIZXxNsIUSCZTgmqkIpLmsoswJyELnWYECdqZGIEMTqrFIUybgBYOjjtyOTUWUBH.pkg	JP0105-NPJJ00682_00-0000000000000001				515455120	
NPJJ00776	JP	PSP	A列車で行こうZ めざせ！大陸横断	http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00776_00/JP0011-NPJJ00776_00-0000000000000001_bg_1_55a48015160e708c118138cfb1628b029dc3ee84.pkg	JP0011-NPJJ00776_00-0000000000000001				72685968	
NPJI00052	JP	PSP	アーク ザ ラッド モンスターゲーム with カジノゲーム	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00052_00/WJT87arbII1TweY9ytqS4iE7pHHl1aU9SiUfvdVkqvq354cLJ3FFM6VLriVmVRf5Xde5qQmMFPynLmmlFHYFCXeTRY6bTem8W3nRn.pkg	JP9000-NPJI00052_00-0000000000000001				355586064	
NPJJ00684	JP	PSP	ABE'99	http://zeus.dl.playstation.net/cdn/JP0105/NPJJ00684_00/SCHKlGDERMJZVvdHXawbLeccwCJOgBudzlFGhGoYRoIWEznVnFEpJMcVYYVtTwwPOXgcNpxyzRxRiIaCTqcQoQKeMjkZSbZiSRSGG.pkg	JP0105-NPJJ00684_00-0000000000000001				775166256	
NPJJ00291	JP	PSP	Epica Stella(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00291_00/cbcn0RJTx8omsmrrr93Q17N2FDn9KDITPQssBPm73RLNLidmObyActh0qXa4rQLfNQNCtAV7hP7tTIrBf6qoJd0Iy2QFanVC28uWW.pkg	JP0571-NPJJ00291_00-0000000000000001				147960576	
NPJJ00047	JP	PSP	セプテントリオン(PS3®・PSP®用)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00047_00/erVEhEecfehjv7edvDcW0ms7NShL4AWMVn2DQsQtC90jgvd3WKejvthxXUAlvbSae3oyGSyHbfqyKF56SLusKmNbH3LkntYbDxr00.pkg	JP0571-NPJJ00047_00-0000000000000001				109363776	
NPJI00070	JP	PSP	ファイヤーパニック ～マックのレスキュー大作戦～	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00070_00/vdUeQODgupTQIWNwIlnqyMzjCktOncHaOkldQyQhAvFasEIRjbUJmOHObUuBclBuGKlUIBdgrbYbMkCiuCJFFxazOtQHetwGFfSKr.pkg	JP9000-NPJI00070_00-0000000000000001				54549344	
NPJJ00329	JP	PSP	デッドヒートロード(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00329_00/XQfTlkq8tQEcBmc4aV2GxH8qP4K7KmVmNQA1qRy1ajOSxIACP6uNloPKDknccGFBAHSWIDkmaHQF2coLQYlOiDDe9fk60p7qae4Cp.pkg	JP0571-NPJJ00329_00-0000000000000001				47326160	
